"60","ROBIN'S NEST",844625.04,837623.36,492.80
"61","KAT O CHAU",845363.01,849169.87,123.40
"62","PORT ISLAND",840326.11,855068.46,132.10
"63","SHARP PEAK",832366.40,856793.00,469.20
"64","SHEK UK SHAN",832962.62,849606.63,483.00
"65","PATSIN END",838381.22,842150.78,512.20
"66","CLOUDY HILL",837367.17,835614.05,440.80
"67.2","TAI MO SHAN",830087.79,830876.89,958.50
"68","CHEUNG SHIU TAN",831954.59,837436.52,410.10
"70","HIGH ISLAND",825035.79,853571.24,278.80
"72","HAI WAN",818591.84,843004.83,282.90
"73","BEACON HILL",823404.66,835452.38,460.00
"74","TSING YI",821973.04,828454.45,336.40
"75","KAU YI CHAU",816133.27,825903.97,119.50
"76","VICTORIA PEAK",815234.66,833023.37,555.20
"77.1","MT PARKER",814355.61,841192.49,507.70
"78","TUNG LUNG",812271.89,847866.52,232.80
"79","HIGH D'AGUILAR",808680.77,843691.78,327.70
"80","STANLEY MOUND",810214.54,839810.12,387.70
"81","MOUNT STENHOUSE",805901.22,831185.87,354.70
"82","CHEUNG CHAU SE",807553.70,821864.08,81.80
"83","CHI MA WAN",809884.59,817017.99,306.80
"84","TAI A CHAU",803271.20,808910.42,86.90
"85","YEE WO",809335.70,803312.13,467.00
"86","BLUFF POINT",813314.95,803171.57,77.40
"87","FUNG WONG SHAN",812291.12,809793.62,935.70
"88","TAI PAK",817860.64,818061.78,466.40
"90","CASTLE PEAK",827695.29,813257.23,584.20
"91","TAI LAM CHUNG",825828.03,821600.51,345.30
"92","MA SHAN",831250.20,818841.91,298.00
"93","TUNG TAU TSUEN",834994.63,817259.48,30.60
"94","AU TAU",833430.78,823008.10,150.60
"95","KAI KEUNG LENG",836039.02,826723.91,573.50
"96","MONG TSENG",838477.96,818097.27,69.90
"97","CREST HILL",842513.09,829041.60,184.00
"98","FEI NGOH SHAN",822396.21,841050.91,603.10
"99","MT PAPEKER (A)",814131.84,840700.49,532.80
"73.2","BEACON HILL S",823255.64,835501.62,436.60
"73.3","BEACON HILL E",823411.07,835598.71,459.20
"101","GREEN ISLAND",816229.63,829686.93,89.80
"102","STAR HOUSE",817299.13,835505.17,
"103","VALLEY ROAD",819166.99,836786.73,
"104","NGAU TAU KOK",819951.74,840445.45,
"105","KOWLOON PEAK",822393.95,841056.99,603.50
"106","SHAUKEIWAN FORT",814881.80,842273.86,197.10
"115","PRINCE BLDG",815809.29,834435.04,
"118","STANHOPE BLDG",816915.48,839469.34,
"119","TAI ON BLDG",815989.28,840919.97,
"123","CHEUNG SHA WAN",821657.30,833821.33,45.70
"124","KOWLOON TSAI",821845.62,837030.49,98.80
"125","KOWLOON CITY",820851.94,837266.34,
"128","DEVIL'S PEAK",817205.39,843169.00,222.80
"129","KWUN TONG",819044.27,841550.84,
"130","BRAEMAR TERRACE",816754.42,839453.23,
"131","CONWELL MANSION",817030.22,838442.39,
"132","KAR WING BLDG",819408.06,835639.15,
"133","FUK LUK BLDG",820813.81,835443.90,
"134","CHAI WAN",814292.91,843164.17,87.20
"135","NAM CHEONG EST",820770.85,834209.90,51.60
"136","STONECUTTERS",820258.14,831851.23,56.80
"137","FEI NGO SHAN",822416.60,841085.53,605.00
"201","POTTINGER PEAK",812966.28,843455.27,313.60
"202","RED HILL",810539.49,841383.93,125.80
"204","VIOLET HILL",812255.42,838662.64,433.90
"205","MOUNT NICHOLSON",813406.02,837193.99,431.50
"206","BRICK HILL",811454.51,835905.76,285.10
"207","WAH FU",812633.29,832207.45,139.80
"208","MT DAVIS (B)",815342.56,830907.59,270.40
"209","MOUNT JOHNSTON",811022.72,834189.14,197.60
"210","STANDLEY",807646.18,840267.57,178.10
"211","PAK KOK",810834.29,830270.79,139.30
"212","CHEUNG CHAU N",809045.06,820938.43,96.40
"213","CHEUNG CHAU SW",807084.79,820359.59,45.30
"215","BEAUFORT ISLAND",805123.11,844094.36,271.40
"217","PO TOI EAST",803730.75,845706.02,243.40
"218","PO TOI WEAT",802850.76,844889.87,189.60
"220","TAI MO TO",821314.50,814546.12,69.00
"223","KEUNG SHAN",810393.47,805792.68,460.20
"224","LUK WU",813496.14,805644.34,450.10
"225","SHA LO WAN",816109.33,807378.68,108.70
"226","WONG NAI UK",816297.37,811803.30,75.80
"227","NGONG PING",813832.05,808817.49,752.00
"228","SHEK PIK RESR E",810581.98,809069.61,428.90
"229","CHA KWO CHAU",808467.56,812453.98,31.60
"230","SUNSET PEAK",813172.65,813172.34,869.90
"232","SHEK KWU CHAU",806340.61,816567.66,186.60
"233","FA PENG TENG",821689.49,822732.22,274.50
"234","LAI PIK SHAN",819939.09,820188.53,264.50
"235","LUNG FU SHAN",815727.07,831988.13,255.10
"236","CHEK LAP KOK",817256.08,811391.78,80.10
"237","VIOLET HILL W",812369.47,838500.53,438.00
"238","LIN FA SHAN",814138.32,815018.92,767.60
